x,y_obs,weight,y_calc,y_bkg,Q,phase 1,phase 2
11.5464,94,0.0106383,107.519,107.519,0.820552,,
11.5605,104,0.00961538,107.51,107.51,0.821556,,
11.5747,89,0.011236,107.502,107.502,0.822559,,
11.5889,105,0.00952381,107.494,107.494,0.823563,,
11.6031,100,0.01,107.485,107.485,0.824567,,
11.6172,92,0.0108696,107.477,107.477,0.82557,,
11.6314,102,0.00980392,107.469,107.469,0.826574,,
11.6456,106,0.00943396,107.46,107.46,0.827577,,
11.6597,80,0.0125,107.452,107.452,0.828581,,
11.6739,90,0.0111111,107.443,107.443,0.829584,,
11.6881,84,0.0119048,107.435,107.435,0.830588,,
11.7022,89,0.011236,107.427,107.427,0.831591,,
11.7164,103,0.00970874,107.418,107.418,0.832594,,
11.7306,100,0.01,107.41,107.41,0.833598,,
11.7448,108,0.00925926,107.402,107.402,0.834601,,
11.7589,91,0.010989,107.393,107.393,0.835605,,
11.7731,100,0.01,107.385,107.385,0.836608,,
11.7873,81,0.0123457,107.376,107.376,0.837611,,
11.8014,110,0.00909091,107.368,107.368,0.838615,,
11.8156,95,0.0105263,107.36,107.36,0.839618,,
11.8298,105,0.00952381,107.351,107.351,0.840622,,
11.8439,121,0.00826446,107.343,107.343,0.841625,,
11.8581,88,0.0113636,107.334,107.334,0.842628,,
11.8723,95,0.0105263,107.326,107.326,0.843632,,
11.8865,109,0.00917431,107.318,107.318,0.844635,,
11.9006,82,0.0121951,107.309,107.309,0.845638,,
11.9148,109,0.00917431,107.301,107.301,0.846641,,
11.929,115,0.00869565,107.292,107.292,0.847645,,
11.9431,105,0.00952381,107.284,107.284,0.848648,,
11.9573,103,0.00970874,107.276,107.276,0.849651,,
11.9715,103,0.00970874,107.267,107.267,0.850654,,
11.9856,111,0.00900901,107.259,107.259,0.851657,,
11.9998,96,0.0104167,107.25,107.25,0.852661,,
12.014,103,0.00970874,107.242,107.242,0.853664,,
12.0282,107,0.00934579,107.233,107.233,0.854667,,
12.0423,108,0.00925926,107.225,107.225,0.85567,,
12.0565,124,0.00806452,107.217,107.217,0.856673,,
12.0707,110,0.00909091,107.208,107.208,0.857676,,
12.0848,110,0.00909091,107.2,107.2,0.85868,,
12.099,91,0.010989,107.191,107.191,0.859683,,
12.1132,102,0.00980392,107.183,107.183,0.860686,,
12.1273,93,0.0107527,107.174,107.174,0.861689,,
12.1415,88,0.0113636,107.166,107.166,0.862692,,
12.1557,104,0.00961538,107.157,107.157,0.863695,,
12.1699,100,0.01,107.149,107.149,0.864698,,
