x,y_obs,weight,y_calc,y_bkg,Q,phase 1,phase 2
11.5464,94,0.0106383,107.711,107.711,0.820552,,
11.5605,104,0.00961538,107.702,107.702,0.821556,,
11.5747,89,0.011236,107.693,107.693,0.822559,,
11.5889,105,0.00952381,107.685,107.685,0.823563,,
11.6031,100,0.01,107.676,107.676,0.824567,,
11.6172,92,0.0108696,107.667,107.667,0.82557,,
11.6314,102,0.00980392,107.659,107.659,0.826574,,
11.6456,106,0.00943396,107.65,107.65,0.827577,,
11.6597,80,0.0125,107.641,107.641,0.828581,,
11.6739,90,0.0111111,107.632,107.632,0.829584,,
11.6881,84,0.0119048,107.624,107.624,0.830588,,
11.7022,89,0.011236,107.615,107.615,0.831591,,
11.7164,103,0.00970874,107.606,107.606,0.832594,,
11.7306,100,0.01,107.598,107.598,0.833598,,
11.7448,108,0.00925926,107.589,107.589,0.834601,,
11.7589,91,0.010989,107.58,107.58,0.835605,,
11.7731,100,0.01,107.572,107.572,0.836608,,
11.7873,81,0.0123457,107.563,107.563,0.837611,,
11.8014,110,0.00909091,107.554,107.554,0.838615,,
11.8156,95,0.0105263,107.545,107.545,0.839618,,
11.8298,105,0.00952381,107.537,107.537,0.840622,,
11.8439,121,0.00826446,107.528,107.528,0.841625,,
11.8581,88,0.0113636,107.519,107.519,0.842628,,
11.8723,95,0.0105263,107.51,107.51,0.843632,,
11.8865,109,0.00917431,107.502,107.502,0.844635,,
11.9006,82,0.0121951,107.493,107.493,0.845638,,
11.9148,109,0.00917431,107.484,107.484,0.846641,,
11.929,115,0.00869565,107.476,107.476,0.847645,,
11.9431,105,0.00952381,107.467,107.467,0.848648,,
11.9573,103,0.00970874,107.458,107.458,0.849651,,
11.9715,103,0.00970874,107.449,107.449,0.850654,,
11.9856,111,0.00900901,107.44,107.44,0.851657,,
11.9998,96,0.0104167,107.432,107.432,0.852661,,
12.014,103,0.00970874,107.423,107.423,0.853664,,
12.0282,107,0.00934579,107.414,107.414,0.854667,,
12.0423,108,0.00925926,107.405,107.405,0.85567,,
12.0565,124,0.00806452,107.397,107.397,0.856673,,
12.0707,110,0.00909091,107.388,107.388,0.857676,,
12.0848,110,0.00909091,107.379,107.379,0.85868,,
12.099,91,0.010989,107.37,107.37,0.859683,,
12.1132,102,0.00980392,107.362,107.362,0.860686,,
12.1273,93,0.0107527,107.353,107.353,0.861689,,
12.1415,88,0.0113636,107.344,107.344,0.862692,,
12.1557,104,0.00961538,107.335,107.335,0.863695,,
12.1699,100,0.01,107.326,107.326,0.864698,,
12.184,90,0.0111111,107.318,107.318,0.865701,,
12.1982,96,0.0104167,107.309,107.309,0.866704,,
12.2124,100,0.01,107.3,107.3,0.867707,,
12.2265,87,0.0114943,107.291,107.291,0.86871,,
12.2407,110,0.00909091,107.282,107.282,0.869713,,
12.2549,113,0.00884956,107.273,107.273,0.870716,,
12.2691,88,0.0113636,107.265,107.265,0.871719,,
12.2832,104,0.00961538,107.256,107.256,0.872722,,
12.2974,99,0.010101,107.247,107.247,0.873725,,
12.3116,76,0.0131579,107.238,107.238,0.874728,,
12.3257,105,0.00952381,107.229,107.229,0.87573,,
12.3399,98,0.0102041,107.22,107.22,0.876733,,
12.3541,94,0.0106383,107.212,107.212,0.877736,,
12.3682,92,0.0108696,107.203,107.203,0.878739,,
12.3824,112,0.00892857,107.194,107.194,0.879742,,
12.3966,111,0.00900901,107.185,107.185,0.880745,,
12.4108,113,0.00884956,107.176,107.176,0.881747,,
12.4249,118,0.00847458,107.167,107.167,0.88275,,
12.4391,104,0.00961538,107.159,107.159,0.883753,,
12.4533,96,0.0104167,107.15,107.15,0.884756,,
12.4674,97,0.0103093,107.141,107.141,0.885759,,
12.4816,102,0.00980392,107.132,107.132,0.886761,,
12.4958,97,0.0103093,107.123,107.123,0.887764,,
12.5099,118,0.00847458,107.114,107.114,0.888767,,
12.5241,102,0.00980392,107.105,107.105,0.889769,,
